Brand,Price,Year,Vehicle Name,Details,Image URL
Acura,"US$ 115,000",,Acura MDX SH-AWD Advance,"2023 - Gasolina - Usado - 3,000 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12761763.jpg
Acura,"US$ 79,900",,Acura MDX SH-AWD Advance,2022 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12560957.jpg
Acura,"US$ 25,500",,Acura ILX Premium,"2022 - Gasolina - Usado - 2,700 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/13101386.jpg
Acura,"US$ 25,000",,Acura ILX Premium,2022 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13130692.jpg
Acura,"US$ 83,500",,Acura MDX,2022 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12893664.jpg
Acura,"US$ 36,500",,Acura RDX A-Spec,2021 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12982432.jpg
Acura,"US$ 34,500",,Acura RDX A-Spec,2020 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13027261.jpg
Acura,"US$ 40,900",,Acura MDX SH-AWD TECHNOLOGY,2020 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12871858.jpg
Acura,"US$ 31,500",,Acura RDX,"2020 - Gasolina - Usado - 37,000 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12972436.jpg
Acura,"US$ 36,000",,Acura TLX,"2020 - Gasolina - Usado - 22,833 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12773023.jpg
Acura,"US$ 29,900",,Acura TLX,"2020 - Gasolina - Usado - 51,633 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12606119.jpg
Acura,"US$ 35,000",,Acura TLX A- SPEC,"2019 - Gasolina - Usado - 77,000 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/13159984.jpg
Acura,"US$ 36,500",,Acura MDX SH-AWD TECHNOLOGY,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12004300.jpg
Acura,"US$ 27,900",,Acura TLX,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12243982.jpg
Acura,"US$ 28,900",,Acura MDX SH-AWD Advance,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12719403.jpg
Acura,"US$ 29,900",,Acura RDX,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13008360.jpg
