Brand,Price,Year,Model,Details,Image URL,Price_in_USD,Power,Usage,Odometer_miles,Range_miles
Acura,"US$ 115,000",2023,MDX SH-AWD Advance,"2023 - Gasolina - Usado - 3,000 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12761763.jpg,115000,Gasolina,Usado ,3000,
Acura,"US$ 79,900",2022,MDX SH-AWD Advance,2022 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12560957.jpg,79900,Gasolina,Usado,,
Acura,"US$ 25,500",2022,ILX Premium,"2022 - Gasolina - Usado - 2,700 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/13101386.jpg,25500,Gasolina,Usado ,2700,
Acura,"US$ 25,000",2022,ILX Premium,2022 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13130692.jpg,25000,Gasolina,Usado,,
Acura,"US$ 83,500",2022,MDX,2022 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12893664.jpg,83500,Gasolina,Usado,,
Acura,"US$ 36,500",2021,RDX A-Spec,2021 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12982432.jpg,36500,Gasolina,Usado,,
Acura,"US$ 34,500",2020,RDX A-Spec,2020 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13027261.jpg,34500,Gasolina,Usado,,
Acura,"US$ 40,900",2020,MDX SH-AWD TECHNOLOGY,2020 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12871858.jpg,40900,Gasolina,Usado,,
Acura,"US$ 31,500",2020,RDX,"2020 - Gasolina - Usado - 37,000 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12972436.jpg,31500,Gasolina,Usado ,37000,
Acura,"US$ 36,000",2020,TLX,"2020 - Gasolina - Usado - 22,833 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12773023.jpg,36000,Gasolina,Usado ,22833,
Acura,"US$ 29,900",2020,TLX,"2020 - Gasolina - Usado - 51,633 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/12606119.jpg,29900,Gasolina,Usado ,51633,
Acura,"US$ 35,000",2019,TLX A- SPEC,"2019 - Gasolina - Usado - 77,000 Mi",https://img.supercarros.com/AdsPhotos/282x188/5/13159984.jpg,35000,Gasolina,Usado ,77000,
Acura,"US$ 36,500",2019,MDX SH-AWD TECHNOLOGY,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12004300.jpg,36500,Gasolina,Usado,,
Acura,"US$ 27,900",2019,TLX,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12243982.jpg,27900,Gasolina,Usado,,
Acura,"US$ 28,900",2019,MDX SH-AWD Advance,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12719403.jpg,28900,Gasolina,Usado,,
Acura,"US$ 29,900",2019,RDX,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13008360.jpg,29900,Gasolina,Usado,,
